,Unnamed: 0,ID,splcolor_text,splshape_text,product_code,medicine_name,dosage_form,splimage,splimprint,original_name,num_colors,num_imprints,image_path,shape_label,color_label
68,2366,4245,WHITE,ROUND,0781-1071,METHAZOLAMIDE,C42998,007811071,GG181,007811071.jpg,1,1.0,data/pillbox_production_images_full_202008/007811071.jpg,10,10
69,7554,23825,YELLOW,OVAL,0149-0008,MACRODANTIN,C25158,001490008,Macrodantin;50;mg;0149-0008,001490008.jpg,2,4.0,data/pillbox_production_images_full_202008/001490008.jpg,7,11
70,2253,5130,YELLOW,OVAL,51525-0430,FELBAMATE,C42998,515250430,WP;0320,515250430.jpg,1,2.0,data/pillbox_production_images_full_202008/515250430.jpg,7,11
71,9763,21938,YELLOW,OVAL,0115-1246,MINOCYCLINE HYDROCHLORIDE,C42927,001151246,H22,001151246.jpg,1,1.0,data/pillbox_production_images_full_202008/001151246.jpg,7,11
72,6362,5663,BLUE,ROUND,0406-8315,MORPHINE SULFATE,C42927,004068315,M;15,004068315.jpg,1,2.0,data/pillbox_production_images_full_202008/004068315.jpg,10,1
73,1219,24249,WHITE,OVAL,0115-2611,TERBUTALINE SULFATE,C42998,001152611,G;2611,001152611.jpg,1,2.0,data/pillbox_production_images_full_202008/001152611.jpg,7,10
74,3605,47060,BROWN,OVAL,0071-0535,ACCUPRIL,C42931,000710535,PD;535;40,000710535.jpg,1,3.0,data/pillbox_production_images_full_202008/000710535.jpg,7,2
75,4106,14168,YELLOW,CAPSULE,63739-809,GABAPENTIN,C25158,637390809,R2666,637390809.jpg,2,1.0,data/pillbox_production_images_full_202008/637390809.jpg,1,11
76,3598,8888,ORANGE,OVAL,0555-0776,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",C42998,005550776,b;776;12;1;2,005550776.jpg,1,5.0,data/pillbox_production_images_full_202008/005550776.jpg,7,5
77,8240,30433,GREEN,CAPSULE,64406-006,TECFIDERA,C25158,644060006,BG;12;240mg;,644060006.jpg,1,4.0,data/pillbox_production_images_full_202008/644060006.jpg,1,4
78,6948,4308,PINK,CAPSULE,43353-858,SIMVASTATIN,C42931,433530858,A;04,433530858.jpg,1,2.0,data/pillbox_production_images_full_202008/433530858.jpg,1,6
80,8793,59637,BLUE,CAPSULE,60687-330,TOLTERODINE TARTRATE,C42916,812C8595-EA0D-6AB4-E053-2A91AA0AB89B,1190,812c8595-ea0d-6ab4-e053-2a91aa0ab89b.jpg,1,1.0,data/pillbox_production_images_full_202008/812c8595-ea0d-6ab4-e053-2a91aa0ab89b.jpg,1,1
81,4098,26618,BROWN,CAPSULE,62037-599,CARTIA,C42916,620370599,Andrx;599;240;mg,620370599.jpg,2,4.0,data/pillbox_production_images_full_202008/620370599.jpg,1,2
82,4432,2999,YELLOW,OVAL,0093-7244,CLARITHROMYCIN,C42930,00093724406,93;7244,00093724406.jpg,1,2.0,data/pillbox_production_images_full_202008/00093724406.jpg,7,11
83,6091,17744,WHITE,ROUND,42291-377,LOVASTATIN,C42998,422910377,CTI;143,422910377.jpg,1,2.0,data/pillbox_production_images_full_202008/422910377.jpg,10,10
84,5986,30452,WHITE,CAPSULE,63304-166,SERTRALINE HYDROCHLORIDE,C42897,633040166,RX166,633040166.jpg,1,1.0,data/pillbox_production_images_full_202008/633040166.jpg,1,10
85,3561,4547,WHITE,ROUND,68462-435,ACAMPROSATE CALCIUM,C42905,684620435,435,684620435.jpg,1,1.0,data/pillbox_production_images_full_202008/684620435.jpg,10,10
86,7272,43606,ORANGE,CAPSULE,43353-131,DILANTIN,C42916,433530131,PD;DILANTIN;100;mg,433530131.jpg,2,4.0,data/pillbox_production_images_full_202008/433530131.jpg,1,5
87,6425,14575,ORANGE,OVAL,60687-149,CAPECITABINE,C42931,88ECB889-8B32-19CC-E053-2A95A90A2C53,191;77,88ecb889-8b32-19cc-e053-2a95a90a2c53.jpg,1,2.0,data/pillbox_production_images_full_202008/88ecb889-8b32-19cc-e053-2a95a90a2c53.jpg,7,5
88,7655,39810,WHITE,OVAL,60505-3247,FAMCICLOVIR,C42931,605053247,APO;FAM500,605053247.jpg,1,2.0,data/pillbox_production_images_full_202008/605053247.jpg,7,10
89,5376,31394,GREEN,OVAL,63459-412,GABITRIL,C42931,63459041230,C;412,63459041230.jpg,1,2.0,data/pillbox_production_images_full_202008/63459041230.jpg,7,4
90,20,19764,BLUE,ROUND,0054-4129,CYCLOPHOSPHAMIDE,C42998,000544129,54;639,000544129.jpg,1,2.0,data/pillbox_production_images_full_202008/000544129.jpg,10,1
91,9433,50948,PINK,OVAL,54569-5993,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,C42931,00093745701,93;7457,00093745701.jpg,1,2.0,data/pillbox_production_images_full_202008/00093745701.jpg,7,6
92,6257,17013,BROWN,CAPSULE,68151-0528,DISOPYRAMIDE PHOSPHATE,C25158,00093312901,93;3129;93;3129,00093312901.jpg,2,4.0,data/pillbox_production_images_full_202008/00093312901.jpg,1,2
93,94,25596,GRAY,OVAL,50458-588,CONCERTA,C42927,504580588,alza;27,504580588.jpg,1,2.0,data/pillbox_production_images_full_202008/504580588.jpg,7,3
94,4318,20371,YELLOW,ROUND,13668-088,OLANZAPINE,C42999,13668-0088-30_BF1C5F92,88;10,13668-0088-30_BF1C5F92.jpg,1,2.0,data/pillbox_production_images_full_202008/13668-0088-30_BF1C5F92.jpg,10,11
96,5359,17002,WHITE,ROUND,51079-868,INDAPAMIDE,C42931,510790868,M;80,510790868.jpg,1,2.0,data/pillbox_production_images_full_202008/510790868.jpg,10,10
97,1209,46158,WHITE,OVAL,51285-406,ENJUVIA,C42998,51285-0406-02_E91FF4AF,E;1,51285-0406-02_E91FF4AF.jpg,1,2.0,data/pillbox_production_images_full_202008/51285-0406-02_E91FF4AF.jpg,7,10
98,6042,27294,ORANGE,ROUND,0378-5125,SOTALOL HYDROCHLORIDE,C42998,003785125,M;S25,003785125.jpg,1,2.0,data/pillbox_production_images_full_202008/003785125.jpg,10,5
99,4997,5423,YELLOW,OVAL,43353-839,PROBENECID,C42931,433530839,LCI;1367,433530839.jpg,1,2.0,data/pillbox_production_images_full_202008/433530839.jpg,7,11
100,1423,40578,WHITE,ROUND,0185-0123,CILOSTAZOL,C42998,001850123,E;123,001850123.jpg,1,2.0,data/pillbox_production_images_full_202008/001850123.jpg,10,10
102,5513,49278,BLUE,OVAL,12634-520,ACYCLOVIR,C42998,00093894301,N943;400,00093894301.jpg,1,2.0,data/pillbox_production_images_full_202008/00093894301.jpg,7,1
103,783,42794,WHITE,ROUND,0378-1452,ESTRADIOL,C42998,003781452,E;3;M,003781452.jpg,1,3.0,data/pillbox_production_images_full_202008/003781452.jpg,10,10
104,3890,39705,YELLOW,ROUND,42806-011,SULINDAC,C42998,428060011,E11,428060011.jpg,1,1.0,data/pillbox_production_images_full_202008/428060011.jpg,10,11
105,8105,14452,YELLOW,CAPSULE,68084-075,TRETINOIN,C25158,103700268,TR,103700268.jpg,2,1.0,data/pillbox_production_images_full_202008/103700268.jpg,1,11
106,5122,5519,BROWN,CAPSULE,0078-0431,FOCALIN,C42916,000780431,NVR;D10,000780431.jpg,1,2.0,data/pillbox_production_images_full_202008/000780431.jpg,1,2
107,343,69682,PINK,ROUND,0363-1093,ANTACID BERRY BITES,C42893,823163E2-B271-431D-E053-2991AA0A9AE8,FC,823163e2-b271-431d-e053-2991aa0a9ae8.jpg,1,1.0,data/pillbox_production_images_full_202008/823163e2-b271-431d-e053-2991aa0a9ae8.jpg,10,6
108,5272,19460,RED,CAPSULE,68084-358,RIFAMPIN,C25158,00527-1315-01_RXNAVIMAGE10_BE0EDF06,LANNETT;1315,00527-1315-01_RXNAVIMAGE10_BE0EDF06.jpg,1,2.0,data/pillbox_production_images_full_202008/00527-1315-01_RXNAVIMAGE10_BE0EDF06.jpg,1,8
109,2678,3672,WHITE,CAPSULE,60505-0190,METFORMIN HYDROCHLORIDE,C42931,605050190,APO;500;MET,605050190.jpg,1,3.0,data/pillbox_production_images_full_202008/605050190.jpg,1,10
110,2283,38010,WHITE,OVAL,0074-3826,DEPAKOTE,C42927,000743826,a;HF,000743826.jpg,1,2.0,data/pillbox_production_images_full_202008/000743826.jpg,7,10
111,813,19124,ORANGE,ROUND,0093-3098,RISEDRONATE SODIUM,C42931,00093-3098-29_NLMIMAGE10_D6436B3B,TEVA;7389,00093-3098-29_NLMIMAGE10_D6436B3B.jpg,1,2.0,data/pillbox_production_images_full_202008/00093-3098-29_NLMIMAGE10_D6436B3B.jpg,10,5
112,6488,43353,WHITE,ROUND,68084-541,ACETAZOLAMIDE,C42998,7650C4BC-9D9B-DDE0-E053-2A91AA0AA20B,LAN;1050,7650c4bc-9d9b-dde0-e053-2a91aa0aa20b.jpg,1,2.0,data/pillbox_production_images_full_202008/7650c4bc-9d9b-dde0-e053-2a91aa0aa20b.jpg,10,10
113,7762,37029,ORANGE,CAPSULE,43353-876,LYRICA,C25158,433530876,Pfizer;PGN;225,433530876.jpg,2,3.0,data/pillbox_production_images_full_202008/433530876.jpg,1,5
114,5438,21306,WHITE,OVAL,0173-0806,HORIZANT,C42927,00173-0806-61_94194A0A,GS;LFG,00173-0806-61_94194A0A.jpg,1,2.0,data/pillbox_production_images_full_202008/00173-0806-61_94194A0A.jpg,7,10
115,5714,25667,RED,ROUND,50844-411,COUGH AND COLD HBP,C42992,50844-0411-21_NLMIMAGE10_B635DB4E,411,50844-0411-21_NLMIMAGE10_B635DB4E.jpg,1,1.0,data/pillbox_production_images_full_202008/50844-0411-21_NLMIMAGE10_B635DB4E.jpg,10,8
116,1554,28624,PINK,OVAL,0004-1100,XELODA,C42931,000041100,XELODA;150,000041100.jpg,1,2.0,data/pillbox_production_images_full_202008/000041100.jpg,7,6
117,552,4251,YELLOW,CAPSULE,68382-078,FENOFIBRIC ACID,C42902,68382-0078-16_NLMIMAGE10_C54062E3,135;a,68382-0078-16_NLMIMAGE10_C54062E3.jpg,2,2.0,data/pillbox_production_images_full_202008/68382-0078-16_NLMIMAGE10_C54062E3.jpg,1,11
118,7388,6202,WHITE,CAPSULE,60429-012,ACYCLOVIR,C25158,604290012,APO;042,604290012.jpg,2,2.0,data/pillbox_production_images_full_202008/604290012.jpg,1,10
119,444,36272,WHITE,ROUND,50458-657,ULTRAM ER,C42927,504580657,300;ER,504580657.jpg,1,2.0,data/pillbox_production_images_full_202008/504580657.jpg,10,10
120,967,2387,BLUE,ROUND,0093-0734,METOPROLOL TARTRATE,C42931,00093-0734-01_6C2B3609,93;734,00093-0734-01_6C2B3609.jpg,1,2.0,data/pillbox_production_images_full_202008/00093-0734-01_6C2B3609.jpg,10,1
121,9555,30350,YELLOW,ROUND,0093-0739,DONEPEZIL HYDROCHLORIDE,C42931,00093-0739-98_16158B5C,TEVA;739,00093-0739-98_16158B5C.jpg,1,2.0,data/pillbox_production_images_full_202008/00093-0739-98_16158B5C.jpg,10,11
122,8657,44534,WHITE,CAPSULE,60429-135,NAPROXEN,C42998,604290135,IP190;500,604290135.jpg,1,2.0,data/pillbox_production_images_full_202008/604290135.jpg,1,10
123,5936,45778,YELLOW,ROUND,0054-4181,DEXAMETHASONE,C42998,000544181,54;489,000544181.jpg,1,2.0,data/pillbox_production_images_full_202008/000544181.jpg,10,11
124,764,27529,BLUE,OVAL,61958-0701,TRUVADA,C42931,61958-0701-01_4A1DA54D,GILEAD;701,61958-0701-01_4A1DA54D.jpg,1,2.0,data/pillbox_production_images_full_202008/61958-0701-01_4A1DA54D.jpg,7,1
125,1535,13879,BLUE,OVAL,0093-7259,VALACYCLOVIR,C42931,00093-7259-56_NLMIMAGE10_B92FDCFE,93;7259,00093-7259-56_NLMIMAGE10_B92FDCFE.jpg,1,2.0,data/pillbox_production_images_full_202008/00093-7259-56_NLMIMAGE10_B92FDCFE.jpg,7,1
126,6321,24824,RED,ROUND,68180-516,LISINOPRIL,C42998,68180-0516-02_10088804,LUPIN;30,68180-0516-02_10088804.jpg,1,2.0,data/pillbox_production_images_full_202008/68180-0516-02_10088804.jpg,10,8
127,3961,44372,YELLOW,CAPSULE,16714-613,SERTRALINE HYDROCHLORIDE,C42931,167140613,A;1;8,167140613.jpg,1,3.0,data/pillbox_production_images_full_202008/167140613.jpg,1,11
128,6723,21200,BROWN,CAPSULE,42291-120,AMOXICILLIN,C25158,422910120,AA;820,422910120.jpg,1,2.0,data/pillbox_production_images_full_202008/422910120.jpg,1,2
129,7308,23914,BROWN,ROUND,43063-086,FAMOTIDINE,C42931,00172572860,TEVA;5728,00172572860.jpg,1,2.0,data/pillbox_production_images_full_202008/00172572860.jpg,10,2
130,6287,11218,ORANGE,CAPSULE,43353-869,VENLAFAXINE HYDROCHLORIDE,C42916,433530869,ZA;37;150;mg,433530869.jpg,2,4.0,data/pillbox_production_images_full_202008/433530869.jpg,1,5
131,8061,29407,PURPLE,CAPSULE,43386-660,TRIMETHOBENZAMIDE HYDROCHLORIDE,C25158,43386-0660-24_D91DECBF,Novel660;300mg,43386-0660-24_D91DECBF.jpg,1,2.0,data/pillbox_production_images_full_202008/43386-0660-24_D91DECBF.jpg,1,7
133,1565,17182,BLUE,CAPSULE,66993-413,OMEPRAZOLE/SODIUM BICARBONATE,C25158,669930413,40,669930413.jpg,2,1.0,data/pillbox_production_images_full_202008/669930413.jpg,1,1
134,6893,31616,WHITE,ROUND,67544-261,LORAZEPAM,C42998,675440261,241;1;WATSON,675440261.jpg,1,3.0,data/pillbox_production_images_full_202008/675440261.jpg,10,10
